id, totalRollbacks, tempoRollbacks, inuteis, tentativas, indice, totalCheckpoints, tempo
nom-coordinate
5,0,0,0,782,782,782,13M1.31S
6,9,11616,8,863,863,863,13M26.415S
7,7,8983,5,924,925,924,13M34.457S
8,16,15925,7,928,930,928,13M28.121S
9,15,16319,8,961,961,961,13M37.717S
5,0,0,0,806,806,806,13M25.929S
6,1,1609,1,852,852,852,13M36.561S
7,21,25669,20,932,932,932,13M42.406S
8,15,22857,17,925,925,925,13M42.486S
9,36,24879,8,933,933,933,13M55.528S
5,0,0,0,800,800,800,13M19.875S
6,5,6325,3,867,867,867,13M37.982S
7,22,28869,21,951,951,951,13M45.193S
8,25,28996,3,928,930,928,13M47.083S
9,33,28390,6,970,971,970,13M52.612S
9,43,36510,3,954,956,954,13M41.167S
8,13,16560,13,906,906,906,13M38.246S
7,17,21935,15,914,914,914,13M34.388S
6,7,9073,7,856,856,856,13M23.664S
5,0,0,0,790,790,790,13M9.902S
5,0,0,0,794,794,794,13M14.107S
6,4,3752,3,903,903,903,13M26.844S
7,10,12598,9,918,918,918,13M36.251S
8,7,10002,8,917,918,917,13M35.078S
9,17,14013,2,929,933,929,13M44.757S
5,0,0,0,805,805,805,13M24.543S
6,10,10302,6,903,903,903,13M28.438S
7,12,16287,10,919,920,919,13M37.686S
8,10,14424,3,923,923,923,13M29.629S
9,29,22515,14,959,959,959,13M45.013S
5,0,0,0,794,794,794,13M13.538S
6,1,1552,1,863,863,863,13M23.693S
7,11,13911,10,930,930,930,13M38.399S
8,11,13179,8,897,897,897,13M42.037S
9,20,21574,10,962,964,962,13M50.163S
5,0,0,0,804,804,804,13M24.288S
6,7,11721,2,898,898,898,13M30.234S
7,6,11701,8,920,922,920,13M43.463S
8,15,17299,11,921,925,921,13M40.04S
9,25,25042,15,954,954,954,13M46.42S
5,0,0,0,802,802,802,13M21.689S
6,12,14518,2,930,930,930,13M23.371S
7,19,27162,21,933,933,933,13M40.055S
8,14,19035,14,928,931,928,13M31.781S
9,30,17547,3,932,936,932,13M53.926S
5,0,0,0,792,792,792,13M11.942S
6,4,3829,1,865,865,865,13M23.569S
7,4,6962,5,911,912,911,13M30.377S
8,6,9696,4,890,890,890,13M35.119S
9,17,17968,5,921,922,921,13M47.796S
probabilistic
5,0,0,0,792,792,792,13M12.929S
6,1,2993,2,898,833,811,13M28.535S
7,4,12425,3,950,845,798,13M36.15S
8,6,15349,7,957,846,803,13M37.414S
9,15,17573,5,940,877,863,13M44.513S
5,0,0,0,804,804,804,13M23.938S
6,2,7929,2,891,831,827,13M26.961S
7,4,12669,3,889,856,847,13M38.039S
8,8,23201,2,933,855,818,13M42.76S
9,17,33889,7,983,894,884,13M44.261S
5,0,0,0,810,810,810,13M30.72S
6,6,16208,4,900,831,829,13M31.417S
7,5,27845,4,905,864,838,13M42.439S
8,8,21420,3,1012,870,747,13M41.313S
9,17,30679,11,917,890,878,14M1.198S
5,0,0,0,796,796,796,13M15.32S
